Filename:	C:\Users\Bown_304\Desktop\Jordan\TGA\magnesium_carbonate_heavy_1@241118110522.t6d 
Operator ID:	Jordan 
Sample ID:	magnesium_carbonate_heavy_1 
Comment: 	magnesium_carbonate_heavy_1 
Serial Number:	537L14021001 
Data Collected:	11/18/2024 12:33:22 PM 
Sample Weight:	9.761 mg 
Display Weight:	9.761 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files\PerkinElmer\Pyris\Calibrations\2023-04-05-Mary.tg1c 
Date/Time:	4/5/2023 3:36:31 PM 
Initial Conditions 
Temperature:	 20.00 °C 
Baseline Filename:	 
End Condition:	Go To Load 
Total Points in Run:	5280 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Nitrogen at 20.0 ml/min  
	Action occurs Immediately 
1)	Heat from 20.00°C to 900.00°C at 10.00°C/min 
 
1) TGA Temperature Scan 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	R25 Diagnostic 
	          	Weight     	Weight     	Temperature	Temperature	Gas Flow     	Temperature 
	1.366667	9.745482	0.000000	33.671000	22.484000	0.000000 
	1.383333	9.745297	0.000000	33.837000	22.637000	0.000000 
	1.400000	9.745174	0.000000	34.004000	22.800000	0.000000 
	1.416667	9.745038	0.000000	34.171000	22.967000	0.000000 
	1.433333	9.744865	0.000000	34.337000	23.139000	0.000000 
	1.450000	9.744717	0.000000	34.504000	23.307000	0.000000 
	1.466667	9.744445	0.000000	34.671000	23.480000	0.000000 
	1.483333	9.744223	0.000000	34.837000	23.659000	0.000000 
	1.500000	9.744050	0.000000	35.004000	23.848000	0.000000 
	1.516667	9.743815	0.000000	35.171000	24.034000	0.000000 
	1.533333	9.743556	0.000000	35.337000	24.219000	0.000000 
	1.550000	9.743334	0.000000	35.504000	24.388000	0.000000 
	1.566667	9.743087	0.000000	35.671000	24.539000	0.000000 
	1.583333	9.742852	0.000000	35.837000	24.700000	0.000000 
	1.600000	9.742605	0.000000	36.004000	24.857000	0.000000 
	1.616667	9.742334	0.000000	36.171000	25.002000	0.000000 
	1.633333	9.742149	0.000000	36.337000	25.144000	0.000000 
	1.650000	9.741963	0.000000	36.504000	25.294000	0.000000 
	1.666667	9.741754	0.000000	36.671000	25.454000	0.000000 
	1.683333	9.741544	0.000000	36.837000	25.618000	0.000000 
	1.700000	9.741395	0.000000	37.004000	25.788000	0.000000 
	1.716667	9.741161	0.000000	37.171000	25.940000	0.000000 
	1.733333	9.740889	0.000000	37.337000	26.107000	0.000000 
	1.750000	9.740655	0.000000	37.504000	26.272000	0.000000 
	1.766667	9.740531	0.000000	37.671000	26.443000	0.000000 
	1.783333	9.740395	0.000000	37.837000	26.622000	0.000000 
	1.800000	9.740198	0.000000	38.004000	26.787000	0.000000 
	1.816667	9.739939	0.000000	38.171000	26.945000	0.000000 
	1.833333	9.739692	0.000000	38.337000	27.098000	0.000000 
	1.850000	9.739482	0.000000	38.504000	27.263000	0.000000 
	1.866667	9.739247	0.000000	38.671000	27.446000	0.000000 
	1.883333	9.739050	0.000000	38.837000	27.629000	0.000000 
	1.900000	9.738790	0.000000	39.004000	27.811000	0.000000 
	1.916667	9.738531	0.000000	39.171000	27.974000	0.000000 
	1.933333	9.738259	0.000000	39.337000	28.131000	0.000000 
	1.950000	9.738087	0.000000	39.504000	28.275000	0.000000 
	1.966667	9.737877	0.000000	39.671000	28.415000	0.000000 
	1.983333	9.737741	0.000000	39.837000	28.557000	0.000000 
