Filename:	C:\Users\Bown_304\Desktop\Jordan\TGA\silica_fume@241216130237.t6d 
Operator ID:	Jordan 
Sample ID:	silica_fume 
Comment: 	Silica fume 
Serial Number:	537L14021001 
Data Collected:	12/16/2024 2:30:38 PM 
Sample Weight:	14.705 mg 
Display Weight:	14.705 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files\PerkinElmer\Pyris\Calibrations\2023-04-05-Mary.tg1c 
Date/Time:	4/5/2023 3:36:31 PM 
Initial Conditions 
Temperature:	 20.00 °C 
Baseline Filename:	 
End Condition:	Go To Load 
Total Points in Run:	5280 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Nitrogen at 20.0 ml/min  
	Action occurs Immediately 
1)	Heat from 20.00°C to 900.00°C at 10.00°C/min 
 
1) TGA Temperature Scan 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	R25 Diagnostic 
	          	Weight     	Weight     	Temperature	Temperature	Gas Flow     	Temperature 
	1.383333	14.701976	0.000000	33.837000	22.815000	0.000000 
	1.400000	14.701766	0.000000	34.004000	22.957000	0.000000 
	1.416667	14.701742	0.000000	34.171000	23.101000	0.000000 
	1.433333	14.701865	0.000000	34.337000	23.251000	0.000000 
	1.450000	14.702050	0.000000	34.504000	23.395000	0.000000 
	1.466667	14.702235	0.000000	34.671000	23.539000	0.000000 
	1.483333	14.702334	0.000000	34.837000	23.696000	0.000000 
	1.500000	14.702334	0.000000	35.004000	23.867000	0.000000 
	1.516667	14.702384	0.000000	35.171000	24.028000	0.000000 
	1.533333	14.702458	0.000000	35.337000	24.192000	0.000000 
	1.550000	14.702680	0.000000	35.504000	24.362000	0.000000 
	1.566667	14.702680	0.000000	35.671000	24.529000	0.000000 
	1.583333	14.702618	0.000000	35.837000	24.700000	0.000000 
	1.600000	14.702544	0.000000	36.004000	24.881000	0.000000 
	1.616667	14.702569	0.000000	36.171000	25.047000	0.000000 
	1.633333	14.702593	0.000000	36.337000	25.203000	0.000000 
	1.650000	14.702655	0.000000	36.504000	25.371000	0.000000 
	1.666667	14.702655	0.000000	36.671000	25.546000	0.000000 
	1.683333	14.702643	0.000000	36.837000	25.716000	0.000000 
	1.700000	14.702655	0.000000	37.004000	25.883000	0.000000 
	1.716667	14.702655	0.000000	37.171000	26.063000	0.000000 
	1.733333	14.702655	0.000000	37.337000	26.249000	0.000000 
	1.750000	14.702705	0.000000	37.504000	26.431000	0.000000 
